Loc,Item Number,Plant Category,Plant Name
CA,69292,ROS,ROSA FLWR CAR R APLBLSM P10239
CA,069785PT,ROS,ROSA FLWR CAR R PINK
CA,79572,ROS,ROSA FLWR CAR R PNK SPLSH PPAF
CA,36382,ROS,ROSA FLWR CAR R PNK SUP P16276
GA,36312,ROS,ROSA FLWR CAR R SCARLET P17373
CA,036315PT,ROS,ROSA FLWR CAR R SCARLET P17373
CA,70212,ROS,ROSA FLWR CAR R WHITE P9573
CA,070215PT,ROS,ROSA FLWR CAR R WHITE P9573
CT,042823S,ROS,ROSA KNCK OUT R DBL PNK P18507
GA,042825PT,ROS,ROSA KNCK OUT R DBL PNK P18507
CT,030903S,ROS,ROSA KNCK OUT R DBL RD P16202
CT,011623S,ROS,ROSA KNCK OUT R P11836 (RED)
GA,011623S,ROS,ROSA KNCK OUT R P11836 (RED)
GA,011625PT,ROS,ROSA KNCK OUT R P11836 (RED)
GA,022153S,ROS,ROSA KNCK OUT R P15070 (PINK)
GA,022155PT,ROS,ROSA KNCK OUT R P15070 (PINK)
CT,406253,ROS,ROSA PEACHY KEEN PPAF
CA,090795ST,ROS,ROSA-CL-CECILE BRUNNER
GA,62691,EVS,ROSMARINUS BLUE SPIRES
CA,07028EPT,EVS,ROSMARINUS OFF TUSCAN BLUE
CA,70281,EVS,ROSMARINUS OFF TUSCAN BLUE
GA,41361,EVS,ROSMARINUS ROMAN BTY PP18192
OR,70612,DCS,SALIX INTEGRA HAKURO NISHIKI
GA,34921,PRN,SALVIA GAUR BLACK & BLUE
CA,94291,PRN,SALVIA HTWV BLAST TM PP24153
OR,035942S,DCS,SAMBUCUS BLACK LACE TM PP15575
OR,019992S,DCS,SAMBUCUS BLK BEAUTY TM PP12305
OR,70501,EVS,SARCOCOCCA HUMILIS
OR,70502,EVS,SARCOCOCCA HUMILIS
OR,43465,VIN,SCHIZOPHRAGMA ELLIP 8170 DJHV8
OR,07094UT,PRN,SEDUM BRONZE CARPET
CT,00730UT,PRN,SEDUM SSPRKLR R LIME ZNGR PPAF
GA,06550UT,PRN,SEMPERVIVUM ARACHNOIDEUM
GA,06559UT,PRN,SEMPERVIVUM BLACK
GA,06560UT,PRN,SEMPERVIVUM GREEN WHEEL
