Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,038122,#2,GENISTA PIL GOLD FLASH,Gold Flash Broom                                                                                    ,DCS,03,
OR,038241,#1,GERANIUM CIN BALLERINA,Ballerina Cranesbill                                                                                ,PRN,04,
OR,038281,#1,GERANIUM CIN SUBCAULESCENS,Black-Eyed Magenta Cranesbill                                                                       ,PRN,05,
OR,005231,#1,GERANIUM SANGUINEUM MAX FREI,Max Frei Bloody Cranesbill                                                                          ,PRN,04,
OR,038355,#5,GINKGO BIL AUTUMN GOLD,Autumn Gold Maidenhair Tree                                                                         ,TRE,04,
OR,033975,#5,GINKGO BIL JADE BUTTERFLIES,Jade Butterfly Maidenhair Tree                                                                      ,TRE,04,
CA,067791,#1,GR-BOUT BLOND AMBITION PP22048,Blonde Ambition Blue Grama Grass                                                                    ,GRS,04,
CA,022581,#1,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                                                                 ,GRS,05,
CA,022582,#2,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                                                                 ,GRS,05,
CA,028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                                                                  ,GRS,04,
OR,03591UT,LittleOne,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                                                                      ,GRS,04,
CA,035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                                                                      ,GRS,04,
OR,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,Golden Japanese Forest Grass                                                                        ,GRS,04,
CA,061741,#1,GR-MIS SIN CABARET,Cabaret Japanese Silver Grass                                                                       ,GRS,05,
CA,061561,#1,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,GRS,05,
CA,061562,#2,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,GRS,05,
CA,005572,#2,GR-MIS SIN MALEPARTUS,Malepartus Maiden Grass                                                                             ,GRS,05,
CA,061661,#1,GR-MIS SIN MORNING LIGHT,Morning Light Maiden Grass                                                                          ,GRS,05,
CA,061662,#2,GR-MIS SIN MORNING LIGHT,Morning Light Maiden Grass                                                                          ,GRS,05,
CA,061551,#1,GR-MIS SIN STRICTUS,Porcupine Grass                                                                                     ,GRS,04,
OR,061555,#5,GR-MIS SIN STRICTUS,Porcupine Grass                                                                                     ,GRS,04,
CA,061575,#5,GR-MIS SIN VARIEGATUS,Variegated Japanese Silver Grass                                                                    ,GRS,05,
CA,022961,#1,GR-PAN VIR NORTHWIND,Northwind Switch Grass                                                                              ,GRS,04,
CA,063881,#1,GR-PAN VIR SHENANDOAH,Shenandoah Switch Grass                                                                             ,GRS,04,
CA,064261,#1,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                                                                ,GRS,04,
CA,064262,#2,GR-PENN ALO HAMELN,Dwarf Fountain Grass                                                                                ,GRS,04,
CA,063611,#1,GR-PENN ALO MOUDRY,Black Flowering Fountain Grass                                                                      ,GRS,05,
CA,063612,#2,GR-PENN ALO MOUDRY,Black Flowering Fountain Grass                                                                      ,GRS,05,
CA,044802,#2,GR-PENN OR KARLEY ROSE PP12909,Karley Rose Oriental Fountain Grass                                                                 ,GRS,05,
CA,064271,#1,GR-PENN SET RUBRUM,Purple Fountain Grass                                                                               ,GRS,08,
OR,064181,#1,HESPERALOE BRK LIGHTS R P21729,Brakelights®  Red Yucca                                                                             ,EVS,05,
OR,039611,#1,HEUCHERA BLACK BEAUTY PP13288,Black Beauty Coral Bells                                                                            ,PRN,04,
OR,097091,#1,HEUCHERA CARNIVAL LIMEADE PPAF,Carnival Limeade Heuchera                                                                           ,PRN,04,
OR,076241,#1,HEUCHERELLA REDSTONE FALLS PAF,Redstone Falls Trailing Foamy Bells                                                                 ,PRN,04,
CA,002111,#1,HIB SYR APHRODITE,Aphrodite Rose Of Sharon                                                                            ,DCS,05,
CA,002112,#2,HIB SYR APHRODITE,Aphrodite Rose Of Sharon                                                                            ,DCS,05,
CA,002115,#5,HIB SYR APHRODITE,Aphrodite Rose Of Sharon                                                                            ,DCS,05,
CA,074511S,SuperOne TM,HIB SYR AZURRI SATN TM PP20563,Azurri Satin™  Rose of Sharon                                                                       ,DCS,05,
CA,074501S,SuperOne TM,HIB SYR BLU CHIFFON TM PP20574,Blue Chiffon™  Rose of Sharon                                                                       ,DCS,05,
CA,074502S,SuperTwo,HIB SYR BLU CHIFFON TM PP20574,Blue Chiffon™  Rose of Sharon                                                                       ,DCS,05,
CA,083992,#2,HIB SYR BLUE BIRD-GRAFTED,Blue Bird Rose Of Sharon                                                                            ,DCS,05,
CA,074841S,SuperOne TM,HIB SYR CHINA CHIFFON TM PPAF,China Chiffon™  Rose of Sharon                                                                      ,DCS,05,
CA,074842S,SuperTwo,HIB SYR CHINA CHIFFON TM PPAF,China Chiffon™  Rose of Sharon                                                                      ,DCS,05,
CA,016961S,SuperOne TM,HIB SYR LAV CHIFFON TM PP12619,Lavender Chiffon™  Rose of Sharon                                                                   ,DCS,05,
CA,016962S,SuperTwo,HIB SYR LAV CHIFFON TM PP12619,Lavender Chiffon™  Rose of Sharon                                                                   ,DCS,05,
CA,074492S,SuperTwo,HIB SYR LIL' KIM TM PP19547,Lil' Kim™  Rose of Sharon                                                                           ,DCS,05,
OR,031872,#2,HOSTA ABIQUA DRINKING GOURD,Abiqua Drinking Gourd Plantain Lily                                                                 ,PRN,03,
OR,093062,#2,HOSTA ENTERPRISE,Enterprise Hosta                                                                                    ,PRN,03,
OR,075112,#2,HOSTA FANTASY ISLAND,Fantasy Island Plantain Lily                                                                        ,PRN,03,
OR,017492,#2,HOSTA FIRE & ICE,Fire And Ice Plantain Lily                                                                          ,PRN,04,
OR,006982,#2,HOSTA MINUTEMAN,Minuteman Plantain Lily                                                                             ,PRN,03,
OR,028392,#2,HOSTA OLIVE BAILEY LANGDON,Olive Bailey Langdon Plantain Lily                                                                  ,PRN,04,
OR,041881,#1,HOSTA PATRIOT,Patriot Plantain Lily                                                                               ,PRN,04,
OR,041882,#2,HOSTA PATRIOT,Patriot Plantain Lily                                                                               ,PRN,04,
OR,039472,#2,HOSTA ROSEDALE GOLDEN GOOSE,Rosedale Golden Goose Plantain Lily                                                                 ,PRN,03,
OR,016301,#1,HOSTA TOKUDAMA FLAVOCIRCINALIS,Flavocircinalis Plantain Lily                                                                       ,PRN,03,
OR,016302,#2,HOSTA TOKUDAMA FLAVOCIRCINALIS,Flavocircinalis Plantain Lily                                                                       ,PRN,03,
OR,074522S,SuperTwo,HYD ARB INCREDIBALL R PP20571,Incrediball®  Smooth Hydrangea                                                                      ,DCS,03,
CA,092752,#2,HYD BLUE ENCHANTRESS R PP25209,Blue Enchantress®  Hydrangea                                                                        ,DCS,05,
CA,092755,#5,HYD BLUE ENCHANTRESS R PP25209,Blue Enchantress®  Hydrangea                                                                        ,DCS,05,
CA,077461S,SuperOne TM,HYD MAC LD R BIG EASY PPAF,Let's Dance®  Big Easy Hydrangea                                                                    ,DCS,05,
CA,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF,Let's Dance®  Big Easy Hydrangea                                                                    ,DCS,05,
CA,077465,#5,HYD MAC LD R BIG EASY PPAF,Let's Dance®  Big Easy Hydrangea                                                                    ,DCS,05,
OR,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,Let's Dance®  Moonlight Hydrangea                                                                   ,DCS,05,
CA,089945,#5,HYD PAN FIRE LIGHT TM PPAF,Fire Light™  Hardy Hydrangea                                                                        ,DCS,03,
OR,024371S,SuperOne TM,HYD PAN LIMELIGHT PP12874,Limelight Hardy Hydrangea                                                                           ,DCS,03,
OR,024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,Limelight Hardy Hydrangea                                                                           ,DCS,03,
CA,029921S,SuperOne TM,HYD PAN LITTLE LIME PPAF,Little Lime™  Hardy Hydrangea                                                                       ,DCS,03,
CA,029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,Little Lime™  Hardy Hydrangea                                                                       ,DCS,03,
OR,074611S,SuperOne TM,HYD PAN PINKY WINKY TM PP16166,Pinky Winky™  Hardy Hydrangea                                                                       ,DCS,03,
OR,074612S,SuperTwo,HYD PAN PINKY WINKY TM PP16166,Pinky Winky™  Hardy Hydrangea                                                                       ,DCS,03,
CA,074601S,SuperOne TM,HYD PAN QUICK FIRE R PP16812,Quick Fire®  Hardy Hydrangea                                                                        ,DCS,03,
OR,035012,#2 STAKED,HYD PET MIRANDA,Miranda Climbing Hydrangea                                                                          ,VIN,04,
