,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,034891,HESPERALOE PARV YELLOW,EVS,+,50,30,-,20,20,-,,-,$7.50 ,-,-,,
170000,040401,HESPERALOE PARVIFLORA,EVS,+,36,30,-,6,6,-,,-,$7.50 ,31,-,,
170000,055315,HIB R WHIPPED CREAM,EVS,+,5,5,-,-,-,-,4/15/2014,-,$21.50 ,-,-,,
170000,002115PT,HIB SYR APHRODITE,DCS,+,8,-,-,8,8,44,5/15/2014,44,$38.50 ,2,-,,
170000,074841S,HIB SYR CHINA CHIFFON TM PPAF,DCS,+,25,25,-,-,-,110,5/1/2014,196,$9.75 ,-,-,,
170000,074535,HYD A INVINCE SPIRIT R PP20765,DCS,+,25,-,-,25,-,-,4/15/2014,"2,590",$19.75 ,-,-,,
170000,019212S,HYD ARB WHITE DOME R PP14168,DCS,+,70,20,-,50,-,-,4/1/2014,118,$16.00 ,10,-,,
170000,019215,HYD ARB WHITE DOME R PP14168,DCS,+,32,10,-,22,-,-,4/15/2014,47,$22.00 ,-,-,,
170000,092752,HYD M ENCHANTRESS R PPAF,DCS,+,50,10,-,40,40,"7,454",,"7,454",$16.25 ,-,-,,
170000,092755,HYD M ENCHANTRESS R PPAF,DCS,+,44,25,-,19,19,842,5/1/2014,"5,465",$22.50 ,-,-,,
170000,074562S,HYD MAC CTYLN TM PARIS PP10906,DCS,+,75,30,-,45,-,-,4/1/2014,-,$16.00 ,331,-,,
170000,042071,HYD MAC PINK ELF R (PIA),DCS,+,40,-,-,40,40,"1,297",,"1,297",$7.00 ,-,-,,
170000,042072,HYD MAC PINK ELF R (PIA),DCS,+,90,45,-,45,45,104,,104,$15.25 ,66,-,,
170000,042075,HYD MAC PINK ELF R (PIA),DCS,+,55,-,-,55,55,-,,-,$20.25 ,-,-,,
170000,041975,HYD MAC PINK N PRETTY R,DCS,+,15,-,-,15,15,174,,174,$19.25 ,-,-,,
170000,041985,HYD MAC RED N PRETTY R,DCS,+,10,-,-,10,10,-,,-,$19.25 ,-,-,,
170000,024372S,HYD PAN LIMELIGHT PP12874,DCS,+,55,55,-,-,-,"1,351",,"1,351",$16.00 ,80,-,,
170000,029922S,HYD PAN LITTLE LIME PPAF,DCS,+,30,30,-,-,-,365,,365,$16.00 ,100,-,,
170000,074601S,HYD PAN QUICK FIRE R PP16812,DCS,+,47,40,-,7,7,263,,263,$9.75 ,-,-,,
170000,080962S,HYD SER TUFF STUFF TM PPAF,DCS,+,99,75,-,24,24,18,4/1/2014,18,$16.00 ,5,-,,
170000,065381,HYPERICUM AN IGNITE RED P19468,DCS,+,42,30,-,12,12,6,3/1/2014,6,$8.00 ,10,-,,
170000,046451,JASMINUM FLORIDUM,EVS,+,15,15,-,-,-,25,3/15/2014,32,$6.50 ,-,-,,
170000,071781,JASMINUM SAMBAC,EVS,+,8,8,-,-,-,-,3/15/2014,239,$7.00 ,20,-,,
170000,046632,JASMINUM SAMBAC GRAND DUKE,EVS,+,3,-,-,3,-,-,3/15/2014,8,$15.50 ,-,-,,
170000,047505SP,JUN C HETZII COLUMN,CON,+,11,7,4,-,-,-,4/1/2014,-,$65.00 ,26,-,,
170000,048001,JUN C MINT JULEP R,CON,+,52,30,-,22,22,-,,-,$5.75 ,-,-,,
170000,048002,JUN C MINT JULEP R,CON,+,29,29,-,-,-,-,,-,$12.50 ,10,-,,
170000,048005,JUN C MINT JULEP R,CON,+,28,25,-,3,3,-,,-,$17.00 ,20,-,,
170000,048005SP,JUN C MINT JULEP R,CON,+,5,5,-,-,-,-,4/1/2014,-,$65.00 ,12,-,,
170000,048452OP,JUN C SAN JOSE,CON,+,3,3,-,-,-,-,,-,$42.50 ,1,-,,
170000,048455BO,JUN C SAN JOSE,CON,+,5,-,-,5,5,-,,-,$55.00 ,-,-,,
170000,049252,JUN H BLUE CHIP,CON,+,27,27,-,-,-,-,,-,$12.50 ,10,-,,
170000,050905,JUN PRO NANA,CON,+,19,-,-,19,19,-,,-,$17.00 ,-,-,,
170000,051751,JUN SA CALGARY CARPET R,CON,+,14,-,-,14,14,-,,-,$5.75 ,-,-,,
170000,051752,JUN SA CALGARY CARPET R,CON,+,19,19,-,-,-,-,,-,$12.50 ,20,-,,
170000,051755,JUN SA CALGARY CARPET R,CON,+,16,-,-,16,16,-,,-,$17.00 ,-,-,,
170000,052705,JUN SC MEDORA,CON,+,10,10,-,-,-,-,5/31/2014,-,$24.00 ,15,-,,
170000,054005,JUN SC SKYROCKET,CON,+,44,23,12,9,9,256,5/31/2014,361,$24.00 ,47,-,,
