Loc,Item,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#,
OR,012365,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,,,014949123652,
OR,012415ST,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,,,014949125052,
OR,012417SE,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,,,014949124178,
CA,012511,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,,,014949125113,
550000,012511,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,1,,014949125113,
GA,012515,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,,,014949125151,
CA,012701,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,014949127018,
GA,012701,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,014949127018,
GA,012705,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,014949127056,
GA,012705PT,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,014949127155,
GA,035041,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,014949205624,
CA,035042BH,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,014949347362,
GA,035045PT,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,014949240649,
CA,090121BH,BOUG BLUEBERRY ICE,Bougainvillea 'Blueberry Ice'                               ,Blueberry Ice Bougainvillea                                 ,,,014949360408,
CA,090122BH,BOUG BLUEBERRY ICE,Bougainvillea 'Blueberry Ice'                               ,Blueberry Ice Bougainvillea                                 ,,,014949360415,
CA,012901,BOUG CAMARILLO FIESTA TM,Bougainvillea 'Monle'                                       ,Camarillo Fiesta™  Bougainvillea,,,014949129012,
CA,012905,BOUG CAMARILLO FIESTA TM,Bougainvillea 'Monle'                                       ,Camarillo Fiesta™  Bougainvillea,,,014949129050,
CA,012951,BOUG CHERRY BLOSSOM,Bougainvillea 'Cherry Blossom'                              ,Cherry Blossom Bougainvillea                                ,,,014949129517,
CA,012955,BOUG CHERRY BLOSSOM,Bougainvillea 'Cherry Blossom'                              ,Cherry Blossom Bougainvillea                                ,,,014949129555,
CA,013031,BOUG DON MARIO R,Bougainvillea 'Monio'                                       ,Don Mario®  Bougainvillea,,,014949130315,
CA,012661,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,,,014949126516,
CA,012662,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,,,014949232071,
CA,012665,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,,,014949126554,
CA,016482,BOUG GOLDEN JACKPOT R,Bougainvillea 'MonSam'                                      ,Golden Jackpot®  Bougainvillea,,OLD,014949345269,
CA,016482BH,BOUG GOLDEN JACKPOT R,Bougainvillea 'MonSam'                                      ,Golden Jackpot®  Bougainvillea,,OLD,014949238936,
CA,013121,BOUG JAMES WALKER,Bougainvillea 'James Walker'                                ,James Walker Bougainvillea                                  ,,,014949131213,
GA,013265PT,BOUG OO-LA-LA R,Bougainvillea 'Monka'                                       ,Oo-La-La®  Bougainvillea,,,014949132753,
CA,013201,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,014949132012,
GA,013201,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,014949132012,
CA,013205,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,014949132050,
GA,013205,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,014949132050,
CA,013051,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,014949130513,
