029002,,,,2,OR,5,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,E Shrub,05,    , $17.12 ,,,,014949290026,45,0,0,          ,0,          ,0,          ,, $14.50 , $2.62 
029005,,,,5,OR,5,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,E Shrub,05,    , $26.23 ,,,,014949290057,39,39,39,10/01/14  ,0,          ,0,          ,, $21.00 , $5.23 
029005PT,,,, 5 PATIO TREE,OR,2,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,E Shrub,05,    , $66.85 ,,,,014949290255,53,0,0,          ,0,          ,0,          ,, $59.00 , $7.85 
029101,,,,1,OR,10,Cotoneaster dammeri 'Eichholz'                              ,Eichholz Cotoneaster                                        ,EVS,E Shrub,05,    , $7.55 ,,,,014949291016,0,109,109,10/01/14  ,0,          ,0,          ,, $6.50 , $1.05 
029102,,,,2,OR,5,Cotoneaster dammeri 'Eichholz'                              ,Eichholz Cotoneaster                                        ,EVS,E Shrub,05,    , $17.12 ,,,,014949291023,384,648,648,10/01/14  ,0,          ,0,          ,, $14.50 , $2.62 
030252,,,,2,OR,5,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,E Shrub,06,    , $17.12 ,,,,014949351970,62,0,0,          ,0,          ,0,          ,, $14.50 , $2.62 
030255,,,,5,OR,5,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,E Shrub,06,    , $26.23 ,,,,014949302552,106,233,233,10/01/14  ,0,          ,0,          ,, $21.00 , $5.23 
030255PT,,,, 5 PATIO TREE,OR,2,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,E Shrub,06,    , $66.85 ,,,,014949360828,119,240,240,06/01/15  ,0,          ,0,          ,, $59.00 , $7.85 
03025UT,,,,LittleOne,OR,16,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,E Shrub,06,    , $5.53 ,,,,014949069042,349,0,0,          ,0,          ,0,          ,, $4.75 , $0.78 
029455,,,,5,OR,5,Cotoneaster horizontalis 'Perpusillus'                      ,Prostrate Rock Cotoneaster                                  ,EVS,E Shrub,04,    , $26.23 ,,,,014949294550,5,10,10,10/01/14  ,0,          ,0,          ,, $21.00 , $5.23 
402073,,,,3,CT,5,Cotoneaster x 'Hessei'                                      ,Hessei Cotoneaster                                          ,EVS,E Shrub,05,    ,,,, $16.04 ,014949390245,306,0,0,          ,0,          ,0,          ,, $14.50 , $1.54 
038202,,,,2,CA,5,Cytisus x spachianus                                        ,Sweet Broom                                                 ,EVS,E Shrub,08,    ,, $17.23 ,,,014949192528,0,463,463,11/15/14  ,0,          ,0,          ,, $14.50 , $2.73 
049232,,,,2,OR,5,Daphne transatlantica Eternal Fragrance ,Eternal Fragrance Daphne                                    ,EVS,E Shrub,06,2010, $21.37 ,,,,014949288436,0,5,5,10/01/14  ,0,          ,0,          ,, $18.75 , $2.62 
