1,Item,Description,Botanical Name,Common Name
OR,024031,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          
OR,024035,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          
OR,074782S,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress
OR,023822,CHAM PIS SQUARROSA MINIMA,Chamaecyparis pisifera 'Squarrosa Minima'                   ,Miniature Moss False Cypress                                
OR,024185,CHIONANTHUS VIRGINICUS,Chionanthus virginicus                                      ,White Fringe Tree                                           
OR,048622,CHOISYA TERN SUNDANCE,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             
OR,412561,CHRY (LEU) REAL CHARMER PPAF,Chrysanthemum 'Real Charmer' P.P.A.F.                       ,Real Charmer Shasta Daisy                                   
OR,412571,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    
OR,407861,CHRY (LEUCA) X REAL GLORY,Chrysanthemum 'Real Glory' P.P.A.F.                         ,Real Glory Shasta Daisy                                     
OR,023021,CHRYS (LEUCANTH) X SUP BECKY,Chrysanthemum x superbum 'Becky'                            ,Becky Shasta Daisy                                          
OR,050515,CISTUS GRAYSWOOD PINK,Cistus 'Grayswood Pink'                                     ,Grayswood Pink Rock Rose                                    
OR,090661,CLEM ALP PAMELA JACKMAN,Clematis alpina 'Pamela Jackman'                            ,Pamela Jackman Alpine Clematis                              
OR,027251,CLEM INTEGRIFOLIA CAERULEA,Clematis integrifolia 'Caerulea'                            ,Bushy Blue Bell Clematis                                    
OR,027431,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      
OR,027435,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      
OR,027401,CLEM MONTANA RUBENS,Clematis montana rubens                                     ,Pink Anemone Clematis                                       
OR,021865,CLEM SAPPHIRE INDIGO TMPP17012,"Clematis 'Cleminov 51' P.P. # 17,012                        ",Sapphire Indigo™  Clematis
