Branch,Item,Description,Confirmed Qty Remaining,,,,,,,,,,,,,
550000,011881,SETCREASEA PALLIDA, 60 ,,,,,,,,,,,,,
170000,071755,STRELITZIA REGINAE, 7 ,,,,,,,,,,,,,
550000,047912,STROMANTHE SANG TRIOSTAR, 25 ,,,,,,,,,,,,,
160000,072342,TAXUS EMERALD SPREADR R P10335, 50 ,,,,,,,,,,,,,
160000,012595,THUJA GREEN GIANT, 20 ,,,,,,,,,,,,,
160000,072815,THUJA OC DEGROOT'S SPIRE, 25 ,,,,,,,,,,,,,
160000,019455,THUJA PLICATA SUNSHINE, 50 ,,,,,,,,,,,,,
550000,070051ST,TRACH JASMINOIDES, 60 ,,,,,,,,,,,,,
160000,073265,TSUGA CANADENSIS, 60 ,,,,,,,,,,,,,
170000,056232,VACC BOUNTIFUL BLUE R PP19381, 300 ,,,,,,,,,,,,,
160000,081702,VACCINIUM X JELLY BEAN TM PPAF, 300 ,,,,,,,,,,,,,
160000,073685,VIB LANTANA MOHICAN, 30 ,,,,,,,,,,,,,
160000,076392,WEIGELA FL DARK HORSE PP14381, 20 ,,,,,,,,,,,,,
160000,076412,WEIGELA FL FRNC LACE TM P12666, 30 ,,,,,,,,,,,,,
160000,076542,WEIGELA FL PINK POPPET, 30 ,,,,,,,,,,,,,
170000,076675,WISTERIA FL ISSAI PERFECT, 10 ,,,,,,,,,,,,,
170000,076771,WISTERIA FL TEXAS PURPLE, 11 ,,,,,,,,,,,,,
170000,076775,WISTERIA FL TEXAS PURPLE, 10 ,,,,,,,,,,,,,
550000,077231,YUCCA FIL GOLDEN SWORD, 21 ,,,,,,,,,,,,,
170000,077235,YUCCA FIL GOLDEN SWORD, 10 ,,,,,,,,,,,,,
170000,077221,YUCCA FIL IVORY TOWER, 15 ,,,,,,,,,,,,,
170000,077225,YUCCA FIL IVORY TOWER, 8 ,,,,,,,,,,,,,
,,," 13,342 ",,,,,,,,,,,,,
