Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
GA,5/1/2014,1372061,046665PT,JATROPHA INT COMPACTA,#5 PATIO TREE,2,2,Remaining,$67.00 ,READY,"15""S",BUDS & BLOOMS,$33.50 ,,$38.48 ,,$86.99 ,14949782958
GA,5/1/2014,1372061,46877,JUN C BLUE POINT,#7,5,5,Remaining,$195.75 ,3/1/2014,,,$39.15 ,,$48.56 ,,$109.99 ,14949039755
CA,5/1/2014,1372051,047505P2,JUN C HETZII COLUMN,#5 2BALL POODLE,1,1,Remaining,$47.85 ,READY,"48""H - 10""S",WINTER COLOR,$47.85 ,,$56.30 ,,$126.99 ,14949475355
CA,5/1/2014,1372051,052755SP,JUN SC MOONGLOW,#5 SPIRAL,1,1,Remaining,$56.55 ,READY,"50""H",-,$56.55 ,,$65.00 ,,$146.99 ,14949527658
OR,5/1/2014,1372023,53392,JUN SQUA BLUE STAR,#2,25,25,Remaining,$272.00 ,READY,"12""S",WINTER COLOR,$10.88 ,,$13.58 ,,$30.99 ,14949533925
OR,5/1/2014,1372023,54195,KERRIA J PLENIFLORA,#5,5,5,Remaining,$85.90 ,READY,"30""H - 16""S",BREAKING DORMANCY,$17.18 ,,$22.59 ,,$50.99 ,14949541951
GA,5/1/2014,1372061,009133PT,LANTANA CAM MOZELLE,#3 PATIO TREE,6,6,Remaining,$177.48 ,3/1/2014,,,$29.58 ,,$33.56 ,,$75.99 ,14949053065
GA,5/1/2014,1372061,056953PT,LANTANA CONFETTI TM,#3 PATIO TREE,6,6,Remaining,$177.48 ,3/1/2014,,,$29.58 ,,$33.56 ,,$75.99 ,14949032299
GA,5/1/2014,1372061,057153PT,LANTANA SUNBURST TM,#3 PATIO TREE,4,4,Remaining,$118.32 ,READY,"15""S",,$29.58 ,,$33.56 ,,$75.99 ,14949032312
GA,5/1/2014,1372061,00967UT,LIRIOPE MUSCARI BIG BLUE,LittleOne,32,32,Remaining,$82.24 ,3/1/2014,,,$2.57 ,,$3.07 ,,$7.99 ,14949021286
GA,5/1/2014,1372061,00979UT,LIRIOPE MUSCARI VARIEGATA,LittleOne,32,32,Remaining,$90.56 ,READY,4+BIBS,WINTER LOOK,$2.83 ,,$3.33 ,,$7.99 ,14949021408
GA,5/1/2014,1372061,05892UT,LIRIOPE SPICATA SILVER DRAGON,LittleOne,32,32,Remaining,$90.56 ,3/1/2014,,,$2.83 ,,$3.33 ,,$7.99 ,14949041253
GA,5/1/2014,1372061,58991,LONICERA X GOLDFLAME,#1 STAKED,10,10,Remaining,$67.40 ,4/1/2014,,,$6.74 ,,$7.40 ,,$16.99 ,14949589915
OR,5/1/2014,1372023,58995,LONICERA X GOLDFLAME,#5 STAKED,10,10,Remaining,$226.20 ,READY,FULL STK,DORMANT,$22.62 ,,$28.03 ,,$63.99 ,14949589953
OR,5/1/2014,1372023,47085,PAEONIA ITOH KEIKO TM (PK D D),#5,5,5,Remaining,$178.35 ,READY,.,CUT BACK,$35.67 ,,$41.08 ,,$92.99 ,14949250365
OR,5/1/2014,1372023,52605,PAEONIA ITOH MISAKA TM PP22192,#5,5,5,Remaining,$178.35 ,READY,5 EYES,CUT BACK,$35.67 ,,$41.08 ,,$92.99 ,14949278871
OR,5/1/2014,1372023,47075,PAEONIA ITOH YUMI TM PAF (YLW),#5,5,5,Remaining,$178.35 ,READY,5 EYES,CUT BACK,$35.67 ,,$41.08 ,,$92.99 ,14949250358
OR,5/1/2014,1372023,34652,PHYSOCARPUS CENTER GLOW P16894,#2,5,5,Remaining,$63.10 ,READY,14''H - 12''S,DORMANT,$12.62 ,,$15.32 ,,$34.99 ,14949219836
OR,5/1/2014,1372023,63932,PHYSOCARPUS DIABOLO R P11211,#2,10,10,Remaining,$126.20 ,READY,14''H - 12''S,DORMANT,$12.62 ,,$15.32 ,,$34.99 ,14949639320
CA,5/1/2014,1372051,29945,PHYSOCARPUS SUMR WINE R P14821,#5,3,3,Remaining,$57.42 ,READY,"12""H - 12""S",BREAKING DORMANCY,$19.14 ,,$24.77 ,,$55.99 ,14949349335
OR,5/15/2014,1372023,064622SP,PICEA GL CONICA,#2 SPIRAL,4,4,Remaining,$153.12 ,READY,"26""H",-,$38.28 ,,$42.33 ,,$95.99 ,14949646328
OR,5/15/2014,1372023,64625,PICEA GL CONICA,#5,20,20,Remaining,$435.00 ,READY,"33""H-12""S",-,$21.75 ,,$27.16 ,,$61.99 ,14949646250
OR,5/1/2014,1372023,064625SP,PICEA GL CONICA,#5 SPIRAL,2,2,Remaining,$113.10 ,READY,"42""H",-,$56.55 ,,$64.66 ,,$145.99 ,14949646359
GA,5/1/2014,1372061,066375PT,PLUMBAGO ROYAL CAPE R,#5 PATIO TREE,2,2,Remaining,$67.00 ,READY,"15""S",,$33.50 ,,$38.48 ,,$86.99 ,14949663455
OR,5/1/2014,1372023,9972,RHOD (H-1) PURPLE GEM,#2,10,10,Remaining,$143.60 ,READY,14''H - 14''S,BUDS,$14.36 ,,$17.06 ,,$38.99 ,14949099728
CA,5/1/2014,1372051,36382,ROSA FLWR CAR R PNK SUP P16276,#2,15,15,Remaining,$192.45 ,READY,"8""H - 10""S",,$12.83 ,,$15.65 ,,$35.99 ,14949212547
CA,5/1/2014,1372051,71602,ROSA FLWR CAR R RED P11308,#2,15,15,Remaining,$192.45 ,READY,9''H - 14''S,BREAKING DORMANCY,$12.83 ,,$15.65 ,,$35.99 ,14949716021
CA,5/1/2014,1372051,70212,ROSA FLWR CAR R WHITE P9573,#2,15,15,Remaining,$192.45 ,READY,"10""H - 12""S",-,$12.83 ,,$15.65 ,,$35.99 ,14949702123
