Loc,Item,Plant Name,CAT,Zone,,,,,,,,,,,,,,,,,,,,,,
170000,046762,CALLISTEM SCRLT TRCH TM P23848,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,046765,CALLISTEM SCRLT TRCH TM P23848,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,046765PT,CALLISTEM SCRLT TRCH TM P23848,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,014351,CALLISTEMON CITRINUS,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,014355,CALLISTEMON CITRINUS,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,014355PT,CALLISTEMON CITRINUS,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,014401,CALLISTEMON LITTLE JOHN,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,014402,CALLISTEMON LITTLE JOHN,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,014405,CALLISTEMON LITTLE JOHN,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,412075,CALLISTEMON VIM SLIM TM,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,401432ST,CAMP SMR JAZ TM FIRE PP23917,VIN,05,,,,,,,,,,,,,,,,,,,,,,
170000,401435PT,CAMP SMR JAZ TM FIRE PP23917,VIN,05,,,,,,,,,,,,,,,,,,,,,,
170000,401422ST,CAMP SMR JAZ TM SR GOLD P23918,VIN,05,,,,,,,,,,,,,,,,,,,,,,
170000,401425PT,CAMP SMR JAZ TM SR GOLD P23918,VIN,05,,,,,,,,,,,,,,,,,,,,,,
160000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,408401,CAMPANULA CAR RAPIDO WHITE,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,408421,CAMPANULA GLOM GENTI BLUE PPAF,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,408411,CAMPANULA GLOM GENTI WHITE PAF,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,022361,CAMPANULA PORTENSCHLAGIANA,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,038611,CAMPANULA SAMANTHA,PRN,05,,,,,,,,,,,,,,,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,04,,,,,,,,,,,,,,,,,,,,,,
170000,022712ST,CAMPSIS BALBOA SUNSET R,VIN,04,,,,,,,,,,,,,,,,,,,,,,
170000,022715,CAMPSIS BALBOA SUNSET R,VIN,04,,,,,,,,,,,,,,,,,,,,,,
170000,022715PT,CAMPSIS BALBOA SUNSET R,VIN,04,,,,,,,,,,,,,,,,,,,,,,
170000,022381,CAMPSIS FLAVA,VIN,04,,,,,,,,,,,,,,,,,,,,,,
170000,022385,CAMPSIS FLAVA,VIN,04,,,,,,,,,,,,,,,,,,,,,,
170000,022385PT,CAMPSIS FLAVA,VIN,04,,,,,,,,,,,,,,,,,,,,,,
