Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
CT,412601,DIAN WHETMAN STARS SUPERNOVA,"Dianthus 'WP11 TYR04' P.P.# 25,077                          ",Whetman Stars™  Superstar Dianthus,,,,,,,,,,,,,,,,,
CT,402301,DICENTRA IVORY HEARTS P15599,"Dicentra 'Ivory Hearts' PP 15,599                           ",Ivory Hearts Bleeding Heart                                 ,,,,,,,,,,,,,,,,,
CT,004811,DICENTRA KING OF HEARTS,Dicentra x 'King of Hearts'                                 ,King Of Hearts Bleeding Heart                               ,,,,,,,,,,,,,,,,,
CT,068273,DIERVILLA SES COOL SPLASH,"Diervilla sessilifolia 'LPDC Podaras' PP#19,391             ",First Editions®  Cool Splash™  Bush Honeysuckle,,,,,,,,,,,,,,,,,
CT,085821,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,,,,,,,,,,,,,,,,,
CT,08582UT,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,,,,,,,,,,,,,,,,,
CT,412611,ECHIN DBL SCP TM CRANBRY PPAF,"Echinacea x purpurea 'Balscanery' P.P.# 24,769              ",Double Scoop™  Cranberry Echinacea,,,,,,,,,,,,,,,,,
CT,086841,ECHIN SMBRO TM SALSA RD P23105,"Echinacea x 'Balsomsed' P.P.#23,105                         ",Sombrero™  Salsa Red Coneflower,,,,,,,,,,,,,,,,,
CT,412621,ECHIN SUPREME FLAMINGO,"Echinacea purpurea 'Flamingo' P.P. 24,898                   ",Supreme™  Flamingo Echinacea,,,,,,,,,,,,,,,,,
CT,003121,ECHINACEA POWWOW R WHITE,"Echinacea purpurea 'PAS702918' P.P. #7,982,110              ",PowWow®  White Coneflower,,,,,,,,,,,,,,,,,
CT,002991,ECHINACEA POWWOW R WILDBERRY,Echinacea purpurea 'PAS702917'                              ,PowWow®  Wild Berry Coneflower,,,,,,,,,,,,,,,,,
CT,033672,ECHINACEA PUR WHITE SWAN,Echinacea purpurea 'White Swan'                             ,White Swan Coneflower                                       ,,,,,,,,,,,,,,,,,
CT,40154UT,ERODIUM REICHARDII ALBUM,Erodium reichardii 'Album'                                  ,White Heron's Bill                                          ,,,,,,,,,,,,,,,,,
CT,033603,EUO ALATUS COMPACTUS,Euonymus alatus 'Compactus'                                 ,Dwarf Burning Bush                                          ,,,,,,,,,,,,,,,,,
CT,033605,EUO ALATUS COMPACTUS,Euonymus alatus 'Compactus'                                 ,Dwarf Burning Bush                                          ,,,,,,,,,,,,,,,,,
CT,033607,EUO ALATUS COMPACTUS,Euonymus alatus 'Compactus'                                 ,Dwarf Burning Bush                                          ,,,,,,,,,,,,,,,,,
CT,402502,EUPATORIUM MAC BABY JOE,"Eupatorium purpureum 'Baby Joe' P.P.#20,320                 ",Baby Joe Dwarf Pye Weed                                     ,,,,,,,,,,,,,,,,,
CT,068111,EUPHORBIA ASCOT RAINBOW PPAF,"Euphorbia x martinii 'Ascot Rainbow' P.P.# 21, 401          ",Ascot Rainbow Spurge                                        ,,,,,,,,,,,,,,,,,
CT,021181S,FERN-ATHYRIUM BRANFORD BEAUTY,Athyrium x 'Branford Beauty'                                ,Branford Beauty Fern                                        ,,,,,,,,,,,,,,,,,
CT,036121,FERN-ATHYRIUM NIP PICTUM,Athyrium niponicum 'Pictum'                                 ,Japanese Painted Fern                                       ,,,,,,,,,,,,,,,,,
CT,036122,FERN-ATHYRIUM NIP PICTUM,Athyrium niponicum 'Pictum'                                 ,Japanese Painted Fern                                       ,,,,,,,,,,,,,,,,,
CT,036411S,FERN-OSMUNDA CINNAMOMEA,Osmunda cinnamomea                                          ,Cinnamon Fern                                               ,,,,,,,,,,,,,,,,,
