Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
CT,1474797,2015 SPRING SBO               ,06/01/15  ,036121S,SuperOne TM,FERN-ATHYRIUM NIP PICTUM,FRN,05,Japanese Painted Fern                                                                               ,    ,8.75 ,,7.44 , 10 , 12 , 89.28 ,     ,     ,     ,04/15/15    ,,,,0.75 , 8.19 ,     ,, 17.99 ,014949035528 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036122,#2,FERN-ATHYRIUM NIP PICTUM,FRN,05,Japanese Painted Fern                                                                               ,    ,15.50 ,,13.18 , 5 , 10 , 131.80 ,     ,     ,     ,Now         ,WINTER COLOR,"10""S",,2.82 , 16.00 ,     ,, 33.99 ,014949361221 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,021221S,SuperOne TM,FERN-DRYOPTERIS ERY BRILLIANCE,FRN,05,Brilliance Autumn Fern                                                                              ,    ,8.75 ,,7.44 , 10 , 12 , 89.28 ,     ,     ,     ,Now         ,,"8-10"" SPR",,0.75 , 8.19 ,     ,, 17.99 ,014949056387 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,03626UT,LittleOne,FERN-DRYOPTERIS FELIX-MAS ROB,FRN,04,Robust Male Fern                                                                                    ,    ,4.50 ,,3.83 , 16 , 32 , 122.56 ,     ,     ,     ,Now         ,CUT BACK,CAN FULL,,0.81 , 4.64 ,     ,, 10.99 ,014949069080 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,FRN,06,Tassel Fern                                                                                         ,    ,6.75 ,,5.74 , 10 , 15 , 86.10 ,     ,     ,     ,Now         ,-,8''H - 8''S,,1.08 , 6.82 ,     ,, 15.99 ,014949837214 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036725,#5,FICUS CAR BLACK JACK,TRE,07,Black Jack Fig                                                                                      ,    ,29.00 ,,24.65 , 5 , 5 , 123.25 ,     ,     ,     ,Now         ,LIGHT FRUIT,"36""H",,5.63 , 30.28 ,     ,, 63.99 ,014949367254 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,036785,#5,FICUS CAR BROWN TURKEY,TRE,07,Brown Turkey Fig                                                                                    ,    ,29.00 ,,24.65 , 5 , 3 , 73.95 ,     ,     ,     ,Now         ,LIGHT FRUIT,"36""H",,5.63 , 30.28 ,     ,, 49.99 ,014949367858 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036795,#5,FICUS CAR KADOTA,TRE,07,Kadota Fig                                                                                          ,    ,29.00 ,,24.65 , 5 , 11 , 271.15 ,     ,     ,     ,Now         ,YOUNG FRUIT,"34""H",,5.63 , 30.28 ,     ,, 63.99 ,014949367957 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,036815,#5,FICUS CAR MISSION,TRE,07,Mission Fig                                                                                         ,    ,29.00 ,,24.65 , 5 , 13 , 320.45 ,     ,     ,     ,Now         ,LIGHT FRUIT,"36""H",,5.63 , 30.28 ,     ,, 63.99 ,014949368152 
CA,1469107,2015 SPRING SBO               ,06/01/15  ,036745,#5,FICUS CAR PETERS HONEY,TRE,07,Peter's Honey Fig                                                                                   ,    ,29.00 ,,24.65 , 5 , 3 , 73.95 ,     ,     ,     ,Now         ,YOUNG FRUIT,"36""H",,5.63 , 30.28 ,     ,, 49.99 ,014949367452 
