Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,,Qty Allocated,Min Order Qty,Available Later,On,Available Later,On,,,,,,,,,,
160000,080251,KNIPH MANGO POPSICLE TM PPAF,Kniphofia 'Mango Popsicle' P.P.A.F.                         ,Mango Popsicle™  Dwarf Poker,Mid/late interm. flowering,PRN, 1.00 , 46 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,080271,KNIPH REDHOT POPSICLE TM PPAF,Kniphofia 'Redhot Popsicle' P.P.A.F.                        ,Redhot Popsicle™  Poker,Mid/late interm. flowering,PRN, 1.00 , 57 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,043121,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,Mid/late interm. flowering,PRN, 1.00 , 73 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,018211,LAVANDULA ANG HIDCOTE SUPERIOR,Lavandula angustifolia 'Hidcote Superior'                   ,Hidcote Superior English Lavender                           ,Mid spring border flowering,PRN, 1.00 , 100 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,068221,LAVANDULA ANG MELISSA LILAC,Lavandula angustifolia 'Dow4'                               ,Melissa Lilac Lavender                                      ,Early spring border flowering,PRN, 1.00 , 109 , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,028481,LAVANDULA THUMBELINA LE P15231,Lavandula angustifolia 'Thumbelina Leigh'                   ,Thumbelina Leigh English Lavender                           ,Mid spring border flowering,PRN, 1.00 , 235 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,072511,LOBELIA X SPE RUSSIAN PRINCESS,Lobelia x speciosa 'Russian Princess'                       ,Russian Princess Lobelia                                    ,Mid spring border flowering,PRN, 1.00 , 10 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,060951,MAHONIA REPENS,Mahonia repens                                              ,Creeping Mahonia                                            ,Ground cover,EVS, 1.00 ," 1,930 ", 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,046701,MONARDA D FIREBALL P14235,Monarda didyma 'Fireball' P.P. 14235                        ,Fireball Bee Balm                                           ,Mid/late interm. flowering,PRN, 1.00 , 19 , 10 , 38 ,06/01/16  ,     ,          ,,,,,,,,,,
160000,025861,MONARDA RASPBERRY WINE,Monarda didyma 'Raspberry Wine'                             ,Raspberry Wine Bee Balm                                     ,Mid/late interm. flowering,PRN, 1.00 , 120 , 10 ,     ,          ,     ,          ,,,,,,,,,,
